,Ticker,one_year,avg_drawdown,yearly_vol
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,PEP,PYPL,CHTR",0.357461764,-0.01560663,0.118710371
Equal-weighted,"MSFT,AAPL,GOOG,PEP,PYPL,COST,AMGN",0.308184686,-0.015607209,0.115739891
Equal-weighted,"MSFT,PEP,ADBE,COST,AVGO,TXN,CHTR",0.277802486,-0.015609984,0.098059361
Equal-weighted,"MSFT,AMZN,CMCSA,ADBE,COST,AMGN,CHTR",0.219451293,-0.015616065,0.108764183
Equal-weighted,"MSFT,AAPL,CSCO,ADBE,PYPL,COST,CHTR",0.312574982,-0.015616106,0.138408042
Equal-weighted,"MSFT,GOOG,PEP,COST,AVGO,TXN,CHTR",0.298317741,-0.015617203,0.083732278
Equal-weighted,"MSFT,AAPL,ADBE,COST,AMGN,TXN,CHTR",0.255848215,-0.015618666,0.116830581
Equal-weighted,"MSFT,AMZN,GOOG,CMCSA,COST,AMGN,CHTR",0.239966549,-0.015623284,0.0944371
Equal-weighted,"MSFT,AAPL,GOOG,CSCO,PYPL,COST,CHTR",0.333090237,-0.015623325,0.124080959
Equal-weighted,"MSFT,AAPL,CMCSA,PEP,ADBE,COST,TXN",0.256634376,-0.015623458,0.104618273
Equal-weighted,"GOOG,CMCSA,PEP,ADBE,COST,TXN,CHTR",0.240588603,-0.015625742,0.085227061
Equal-weighted,"MSFT,AAPL,GOOG,CSCO,PEP,ADBE,CHTR",0.27124825,-0.015625846,0.102910818
Equal-weighted,"MSFT,AAPL,GOOG,COST,AMGN,TXN,CHTR",0.27636347,-0.015625885,0.102503498
Equal-weighted,"MSFT,ADBE,PYPL,COST,AMGN,TXN,CHTR",0.291941356,-0.015626523,0.119885722
Equal-weighted,"MSFT,AMZN,PEP,ADBE,COST,TXN,CHTR",0.229076332,-0.015628472,0.1109879
Equal-weighted,"MSFT,CSCO,CMCSA,PEP,COST,AVGO,CHTR",0.264480826,-0.015630638,0.083632949
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,PEP,COST,TXN",0.277149631,-0.015630677,0.09029119
Equal-weighted,"MSFT,CMCSA,PEP,ADBE,PYPL,COST,TXN",0.292727517,-0.015631315,0.107673414
Equal-weighted,"MSFT,GOOG,CSCO,PEP,ADBE,PYPL,CHTR",0.30734139,-0.015633703,0.105965959
Equal-weighted,"MSFT,GOOG,PYPL,COST,AMGN,TXN,CHTR",0.312456611,-0.015633742,0.105558639
Equal-weighted,"MSFT,AMZN,GOOG,PEP,COST,TXN,CHTR",0.249591587,-0.015635691,0.096660817
Equal-weighted,"MSFT,GOOG,PEP,ADBE,AMGN,TXN,CHTR",0.250614623,-0.015636263,0.084388498
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,PYPL,COST,TXN",0.313242772,-0.015638534,0.093346331
Equal-weighted,"MSFT,AAPL,CSCO,CMCSA,COST,AMGN,CHTR",0.242526555,-0.015639319,0.102404169
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,ADBE,COST,AMGN",0.217404218,-0.015645343,0.075323061
Equal-weighted,"MSFT,CSCO,CMCSA,PYPL,COST,AMGN,CHTR",0.278619695,-0.015647177,0.10545931
Equal-weighted,"MSFT,AMZN,CSCO,CMCSA,PEP,COST,CHTR",0.215754672,-0.015649126,0.096561488
Equal-weighted,"MSFT,CSCO,CMCSA,PEP,ADBE,AMGN,CHTR",0.216777708,-0.015649697,0.084289169
Equal-weighted,"MSFT,AAPL,CMCSA,ADBE,COST,AVGO,CHTR",0.312967679,-0.015651637,0.117271688
Equal-weighted,"MSFT,AAPL,CSCO,PEP,COST,TXN,CHTR",0.252151593,-0.015651726,0.104627886
Equal-weighted,"AAPL,GOOG,PEP,ADBE,PYPL,COST,CHTR",0.316413889,-0.015656335,0.132111806
Equal-weighted,"MSFT,GOOG,CSCO,CMCSA,PEP,AMGN,CHTR",0.237292963,-0.015656916,0.069962086
Equal-weighted,"MSFT,GOOG,CSCO,PEP,ADBE,COST,TXN",0.227029257,-0.01565775,0.077546778
Equal-weighted,"MSFT,AAPL,GOOG,CMCSA,COST,AVGO,CHTR",0.333482934,-0.015658856,0.102944605
Equal-weighted,"MSFT,CMCSA,ADBE,PYPL,COST,AVGO,CHTR",0.34906082,-0.015659495,0.120326829
Equal-weighted,"MSFT,CSCO,PEP,PYPL,COST,TXN,CHTR",0.288244734,-0.015659584,0.107683027
Equal-weighted,"MSFT,AAPL,PEP,COST,AMGN,AVGO,CHTR",0.283579345,-0.01566379,0.108940233
Equal-weighted,"MSFT,GOOG,CMCSA,PYPL,COST,AVGO,CHTR",0.369576075,-0.015666714,0.105999746
Equal-weighted,"MSFT,GOOG,CMCSA,PEP,ADBE,AVGO,CHTR",0.307734088,-0.015669234,0.084829605
